Topall,rank
pncC,1799
coaD,1800
xthA,1801
yciU,1802
ycaO,1803
adhE,1804
murB,1805
yjiN,1806
nikD,1807
ybgC,1808
bluF,1809
ftsA,1810
yfjK,1811
yigB,1812
ycjF,1813
ugpA,1814
phoE,1815
ftsX,1816
lpxB,1817
nuoG,1818
pgm,1819
dctR,1820
rspA,1821
yejF,1822
proS,1823
oppB,1824
trmA,1825
nsrR,1826
ugpB,1827
murG,1828
csiE,1829
helD,1830
folD,1831
tatB,1832
yebS,1833
mrcB,1834
thrC,1835
moaA,1836
msrC,1837
atpA,1838
recB,1839
hyfG,1840
ftsN,1841
sufC,1842
fryA,1843
rpoH,1844
kdgK,1845
hscB,1846
aldB,1847
yhjG,1848
ribD,1849
nei,1850
uvrD,1851
murE,1852
cspA,1853
rimI,1854
ytfL,1855
grcA,1856
ydjL,1857
deoA,1858
gatD,1859
rluE,1860
talB,1861
lhr,1862
apaH,1863
fliI,1864
rng,1865
malK,1866
hns,1867
torZ,1868
rsuA,1869
ppsA,1870
otsA,1871
aldA,1872
cedA,1873
mak,1874
cysI,1875
parE,1876
murC,1877
lpxD,1878
acnA,1879
blc,1880
pka,1881
ygaM,1882
uvrB,1883
rlmI,1884
yhhX,1885
uvrC,1886
recQ,1887
nusB,1888
mukB,1889
kdgR,1890
rapA,1891
mrcA,1892
recA,1893
holB,1894
dnaX,1895
topB,1896
trmD,1897
pstB,1898
menI,1899
exbB,1900
cspE,1901
hrpA,1902
rho,1903
malP,1904
dnaE,1905
wbbK,1906
secA,1907
rppH,1908
spoT,1909
pssA,1910
cspC,1911
ybcJ,1912
rnr,1913
