Topall,rank
YGR232W,1100
YDR247W,1101
YFL041W,1102
YLR335W,1103
YPL049C,1104
YKL012W,1105
YNL081C,1106
YGL169W,1107
YBR065C,1108
YIR037W,1109
YIL064W,1110
YLR291C,1111
YGR038W,1112
YDL204W,1113
YGR091W,1114
YFL007W,1115
YKL207W,1116
YMR206W,1117
YDR469W,1118
YGL203C,1119
YDR482C,1120
YML126C,1121
YGR079W,1122
YJR146W,1123
YNL271C,1124
YML015C,1125
YDL030W,1126
YGL037C,1127
YER023W,1128
YPR057W,1129
YDL087C,1130
YDL043C,1131
YER013W,1132
YOR261C,1133
YDR416W,1134
YGR248W,1135
YPR108W,1136
YLL050C,1137
YCR088W,1138
YMR044W,1139
YPL055C,1140
YOL093W,1141
YJL203W,1142
YOR150W,1143
YLR421C,1144
YDR001C,1145
YDL209C,1146
YPR136C,1147
YLR312W-A,1148
YLR113W,1149
YBL081W,1150
YNL236W,1151
YMR269W,1152
YBL042C,1153
YDL033C,1154
YGR191W,1155
YGR278W,1156
YAL032C,1157
YGR088W,1158
YPR019W,1159
YDL097C,1160
YNL317W,1161
YFR053C,1162
YLR304C,1163
YDR037W,1164
YPR118W,1165
YJL211C,1166
YHR070W,1167
YMR259C,1168
YGR185C,1169
YIL055C,1170
YBR251W,1171
YCR077C,1172
YPR091C,1173
YBL026W,1174
YNL154C,1175
YKR086W,1176
YDL147W,1177
YCL040W,1178
YBL058W,1179
YIL061C,1180
YBL033C,1181
YDR454C,1182
YNL101W,1183
YDR152W,1184
YHR138C,1185
YBR217W,1186
YPL156C,1187
YNR010W,1188
YPR033C,1189
YKR006C,1190
YEL020C,1191
YHR110W,1192
YDL110C,1193
YMR108W,1194
YPR071W,1195
YCR063W,1196
YOL145C,1197
YMR314W,1198
YMR109W,1199
YMR246W,1200
YGR215W,1201
YBR120C,1202
YHR119W,1203
YDR346C,1204
YNL252C,1205
YOR158W,1206
YBR258C,1207
YIL144W,1208
YOR174W,1209
YGR220C,1210
YML032C,1211
YPL248C,1212
YAR066W,1213
YML114C,1214
YFR049W,1215
YBR047W,1216
YAR064W,1217
YGR171C,1218
YPL181W,1219
YAR068W,1220
YOR165W,1221
YMR158W,1222
YDL222C,1223
YMR233W,1224
YNL029C,1225
YIR011C,1226
YML094W,1227
YBR149W,1228
YGL234W,1229
YNR011C,1230
YER146W,1231
YNL134C,1232
YLR176C,1233
YBL091C-A,1234
YMR213W,1235
YIL038C,1236
YPL094C,1237
YDR074W,1238
YJR050W,1239
YGR180C,1240
YEL061C,1241
YMR196W,1242
YBL041W,1243
YJR069C,1244
YMR193W,1245
YGL199C,1246
YNL015W,1247
YDR211W,1248
YCL066W,1249
YLR172C,1250
YJL020C,1251
YGL100W,1252
YDR011W,1253
YPR184W,1254
YOR374W,1255
YPR158W,1256
YOL019W,1257
YPR094W,1258
YOR120W,1259
YOL163W,1260
YOL079W,1261
YHR090C,1262
YGL121C,1263
YCR071C,1264
YML019W,1265
YIR009W,1266
YJR068W,1267
YDR364C,1268
YKL138C,1269
YER012W,1270
YMR175W,1271
YHR175W,1272
YNL023C,1273
YHR195W,1274
YHR156C,1275
YNL195C,1276
YGR097W,1277
YHR026W,1278
YKR085C,1279
YKL095W,1280
YDR466W,1281
YGR138C,1282
YAL016W,1283
YDR143C,1284
YML050W,1285
YBL104C,1286
YPR002W,1287
YNL107W,1288
YJL011C,1289
YGR076C,1290
YLR071C,1291
YPR135W,1292
YDR146C,1293
YGR209C,1294
YNL147W,1295
YDR290W,1296
YBR279W,1297
YNL057W,1298
YFL030W,1299
YOL135C,1300
YJR132W,1301
YML085C,1302
YGR075C,1303
YMR268C,1304
YAR035W,1305
YKL142W,1306
YML041C,1307
YAR070C,1308
YGL156W,1309
YLR244C,1310
YKL155C,1311
YCR102W-A,1312
YDR403W,1313
YOR205C,1314
YKL003C,1315
YHR043C,1316
YOR181W,1317
YIL079C,1318
YLR134W,1319
YBR203W,1320
YBR146W,1321
YDR513W,1322
YDR328C,1323
YLR107W,1324
YNL262W,1325
YGR104C,1326
YCL035C,1327
YJR059W,1328
YIL070C,1329
YGR043C,1330
YJL084C,1331
YMR070W,1332
YJL217W,1333
YLR439W,1334
YDR132C,1335
YOR319W,1336
YGL129C,1337
YMR286W,1338
YEL011W,1339
YKL070W,1340
YDR088C,1341
YHR106W,1342
YDL045W-A,1343
YMR120C,1344
YDL234C,1345
YLR387C,1346
YGL070C,1347
YNL185C,1348
YOR332W,1349
YPL218W,1350
YER137C,1351
YBR282W,1352
YJL161W,1353
YMR279C,1354
YDL239C,1355
YJL096W,1356
YPR119W,1357
YMR185W,1358
YDR238C,1359
YPR198W,1360
YER079W,1361
YOL078W,1362
YCR025C,1363
YJL207C,1364
YDR159W,1365
YDL015C,1366
YJR113C,1367
YGR008C,1368
YGR157W,1369
YJR101W,1370
YNR036C,1371
YCL005W,1372
YHR038W,1373
YFL049W,1374
YKL053C-A,1375
YNL245C,1376
YFL022C,1377
YFR024C-A,1378
YJL178C,1379
YPL183W-A,1380
YOL142W,1381
YML025C,1382
YLR100W,1383
YGL106W,1384
YLR096W,1385
YKL073W,1386
YBR139W,1387
YFL008W,1388
YDR054C,1389
YML092C,1390
YGR055W,1391
YDR098C,1392
YMR001C,1393
YPL016W,1394
YPL048W,1395
YOL165C,1396
YNL046W,1397
YJL163C,1398
YNL033W,1399
YGL007W,1400
YPR100W,1401
YDR075W,1402
YLR027C,1403
YPL173W,1404
YMR174C,1405
YPR161C,1406
YLR018C,1407
YLR312C,1408
YOL018C,1409
YLR405W,1410
YLR410W,1411
YDR362C,1412
YPR089W,1413
YGR129W,1414
YLR050C,1415
YIL034C,1416
YBR234C,1417
YLR460C,1418
YNL284C,1419
YHL004W,1420
YPL238C,1421
YDR439W,1422
YNL177C,1423
YER056C,1424
YOR320C,1425
YIL093C,1426
YGR063C,1427
YER171W,1428
YMR080C,1429
YDL202W,1430
YGL244W,1431
YGL073W,1432
YBL057C,1433
YPL013C,1434
YDR443C,1435
YIL033C,1436
YNL016W,1437
YAR075W,1438
YBR122C,1439
YBL096C,1440
YER050C,1441
YMR238W,1442
YMR225C,1443
YBR060C,1444
YBR056W,1445
YGR165W,1446
YKL188C,1447
YBR187W,1448
YOR010C,1449
YKL054C,1450
YDL018C,1451
YAL021C,1452
YJR084W,1453
YMR210W,1454
YDL013W,1455
YBL018C,1456
YKL195W,1457
YGR195W,1458
YLR252W,1459
YDL020C,1460
YIL076W,1461
YEL056W,1462
YOL090W,1463
YDR097C,1464
YBR052C,1465
YNL115C,1466
YLR251W,1467
YNL123W,1468
YKL122C,1469
YNL287W,1470
YCR030C,1471
YKL024C,1472
YGL127C,1473
YDR356W,1474
YPR070W,1475
YER090W,1476
YMR139W,1477
YGL006W,1478
YBR141C,1479
YLR345W,1480
YGR243W,1481
YER009W,1482
YMR102C,1483
YKR007W,1484
YEL042W,1485
YDR045C,1486
YJR017C,1487
YLR438W,1488
YFL027C,1489
YGL004C,1490
YBL078C,1491
YGR178C,1492
YER022W,1493
YGL174W,1494
YBL067C,1495
YJR072C,1496
YDR148C,1497
YPR026W,1498
YKL004W,1499
YBR147W,1500
YGR135W,1501
YDR067C,1502
YKR075C,1503
YML004C,1504
YOR327C,1505
YDR193W,1506
YBL050W,1507
YKL035W,1508
YDR485C,1509
YKR090W,1510
YPL064C,1511
YHR025W,1512
YPR075C,1513
YPL230W,1514
YML023C,1515
YLR413W,1516
YLR028C,1517
YKL074C,1518
YNL098C,1519
YMR024W,1520
YJL091C,1521
YDL220C,1522
YER053C,1523
YOL027C,1524
YAR031W,1525
YKR043C,1526
YMR191W,1527
YFR051C,1528
YPR160W,1529
YMR064W,1530
YHR202W,1531
YKL167C,1532
YKR003W,1533
YPR044C,1534
YEL001C,1535
YML009C,1536
YGR084C,1537
YDR358W,1538
YNL086W,1539
YCR014C,1540
YJR036C,1541
YAR069C,1542
YBL105C,1543
YCR046C,1544
YJR034W,1545
YKR027W,1546
YDR462W,1547
YER094C,1548
YDR308C,1549
YGR021W,1550
YPR103W,1551
YIL143C,1552
YPL118W,1553
YMR031C,1554
YNL137C,1555
YDR156W,1556
YHR114W,1557
YGR005C,1558
YPL099C,1559
YDR434W,1560
YER145C,1561
YGR061C,1562
YJR141W,1563
YDR292C,1564
YPL139C,1565
YGR244C,1566
YLR069C,1567
YOR248W,1568
YDL019C,1569
YDR296W,1570
YGL026C,1571
YHR144C,1572
YBL095W,1573
YAR002W,1574
YPL123C,1575
YMR276W,1576
YDR178W,1577
YOR052C,1578
YJR065C,1579
YEL033W,1580
YAL028W,1581
YJL094C,1582
YMR066W,1583
YBR188C,1584
YMR018W,1585
YLR109W,1586
YDR405W,1587
YGR052W,1588
YHR122W,1589
YNL307C,1590
YER038C,1591
YOR285W,1592
YCL067C,1593
YDR163W,1594
YJL092W,1595
YIL161W,1596
YNR035C,1597
YKL154W,1598
YDL156W,1599
YBL025W,1600
YDR451C,1601
YBL016W,1602
YDR533C,1603
YER150W,1604
